deployment_id,tag_id,individual_id,animal_life_stage,attachment_type,deploy_off_timestamp,deploy_on_timestamp,deployment_end_comments,duty_cycle,deployment_local_identifier,study_site,sensor_type_ids,capture_location,deploy_on_location,deploy_off_location,death_comments,individual_local_identifier,sex,taxon_canonical_name,individual_number_of_deployments,mortality_location,tag_local_identifier,manufacturer_name,model,tag_number_of_deployments,study_id
3568311128,3568311068,3568311034,8 years,collar,2011-06-14T23:59:00Z,2010-10-20T00:00:00Z,poached,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30070_Sawani,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",poached,Sawani,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30070,Lotek,WildCell GPS,1,208413731
3568311119,3568311069,3568311032,9 years,collar,2013-01-11T23:59:00Z,2010-10-19T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30071_Peria,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Peria,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30071,Lotek,WildCell GPS,1,208413731
3568311099,3568311070,3568311031,9 years,collar,2012-10-19T00:00:00Z,2010-10-18T00:00:00Z,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30072_Paita,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Paita,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30072,Lotek,WildCell GPS,1,208413731
3568311125,3568311071,3568311023,7 years,collar,2013-01-15T23:59:00Z,2010-10-10T00:00:00Z,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30073_Nentepesi,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",predated,Nentepesi,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30073,Lotek,WildCell GPS,1,208413731
3568311132,3568311072,3568311027,9 years,collar,2013-01-15T23:59:00Z,2010-10-16T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30074_Noontare,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Noontare,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30074,Lotek,WildCell GPS,1,208413731
3568311131,3568311073,3568311024,6 years,collar,2012-04-07T00:00:00Z,2010-10-10T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30075_Nesimei,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Nesimei,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30075,Lotek,WildCell GPS,1,208413731
3568311127,3568311074,3568311021,10 years,collar,2012-10-29T00:00:00Z,2010-10-11T00:00:00Z,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30076_Nenkitirua,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Nenkitirua,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30076,Lotek,WildCell GPS,1,208413731
3568311111,3568311075,3568311028,10 years,collar,2012-11-20T23:59:00Z,2010-10-19T00:00:00Z,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30077_Ntishya,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Ntishya,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30077,Lotek,WildCell GPS,1,208413731
3568311106,3568311076,3568311022,10 years,collar,2011-02-16T23:59:00Z,2010-10-11T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30078_NenkonguNarok,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Nenkongu Narok,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30078,Lotek,WildCell GPS,1,208413731
3568311133,3568311077,3568311003,9 years,collar,2012-10-17T23:59:00Z,2010-10-20T21:01:00Z,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30079_Kikaya,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Kikaya,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30079,Lotek,WildCell GPS,1,208413731
3568311108,3568311078,3568311012,8 years,collar,2010-12-12T23:59:00Z,2010-10-10T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30081_Lerisa,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Lerisa,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30081,Lotek,WildCell GPS,1,208413731
3568311110,3568311079,3568311004,10 years,collar,2013-01-15T23:59:00Z,2010-10-17T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30082_Kiranto,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Kiranto,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30082,Lotek,WildCell GPS,1,208413731
3568311135,3568311080,3568311011,9 years,collar,2011-06-01T23:59:00Z,2010-10-12T00:00:00Z,poached,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30083_Leporana,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",poached,Leporana,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30083,Lotek,WildCell GPS,1,208413731
3568311114,3568311081,3568311001,8 years,collar,2011-12-08T23:59:00Z,2010-10-19T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30084_Karbolo,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Karbolo,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30084,Lotek,WildCell GPS,1,208413731
3568311101,3568311082,3568311010,8 years,collar,2012-06-10T23:59:00Z,2010-10-11T00:00:00Z,dead,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30085_Lengaruani,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",dead,Lengaruani,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30085,Lotek,WildCell GPS,1,208413731
3568311105,3568311083,3568311019,10 years,collar,2012-02-05T00:00:00Z,2010-10-16T00:00:00Z,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30086_NeMpaash,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Ne Mpaash,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30086,Lotek,WildCell GPS,1,208413731
